text,language,source,model,topic
Health authorities are closely monitoring a growing Listeriosis outbreak after 119 cases were reported since December 5. Officials have warned that infants are at an especially high risk of contracting the dangerous infection. The Department of Health remains vigilant as it works to contain the spread and protect the most vulnerable populations.,eng,machine,gemma-4-31b-it,Izinsana zisengcupheni enkulu ye-Listeriosis
Izinsana zisengcupheni enkulu yokutheleleka isifo se-Listeriosis. UMnyango wezeMpilo usekuqapha ukubheduka kwalesi sifo ngemuva kokuba kubikwe abantu aba-119 abathelelekayo. Lezi zimo zibonakale kusukela ngomhla ka-5 kuZibandlela. Kubalulekile ukuba abazali babe qaphile ukuze bavikele izinsana zabo kulesi sifo.,zul,machine,gemma-4-31b-it,Izinsana zisengcupheni enkulu ye-Listeriosis
"The Department of Health is closely monitoring an outbreak of Listeriosis, as infants are identified as being at high risk. Since December 5th, approximately 119 people have been reported as affected by the disease. Authorities are tracking the situation to manage the spread and ensure public safety.",eng,machine,gemma-4-31b-it,Izinsana zisengcupheni enkulu ye-Listeriosis
"Izinsana zisengcupheni enkulu yokutheleleka ngesifo se-Listeriosis kanti uMnyango wezeMpilo usekufakele amehlo ukubheka lokhu kubhebhetheka. Kubikwe ukuthi abantu abayi-119 sebatheleleke yilesi sifo kusukela ngomhla ka-5 kuZibandlela. Lolu hlelo lokubhekisisa lwenzelwe ukuqinisekisa ukuthi kutholakala usizo olufanele, ikakhulukazi kulabo ababuthakathaka.",zul,machine,gemma-4-31b-it,Izinsana zisengcupheni enkulu ye-Listeriosis
"The Department of Health is closely monitoring an outbreak of Listeriosis, with 119 cases reported since January 5th. This infection is particularly dangerous for infants, who are at a significantly higher risk of developing severe complications. Health officials are tracking the spread of the disease to ensure public safety and prevent further infections. It is crucial to maintain strict food hygiene to protect vulnerable populations from this bacteria.",eng,machine,gemma-4-31b-it,Izinsana zisengcupheni enkulu ye-Listeriosis
"Ngokwemibiko yeNhlangano yeManzi neSisekelo (DWS), ukuntuleka kwezimvula okukhona okudala ukwehla okukhulu kwezinga lamanzi emadamini. Lokhu sekwenze iziphathi mandla zithathe izinyathelo eziqinile zokulawula ukusetshenziswa kwamanzi ukuze kunwebwe isikhathi sokufika kosuku lokuntuleka kwamanzi. Kucelwa kubahlali ukuba babambisane ngokunakekela amanzi ukuze kuvikelwe isimo esibucayi sokuntuleka ngokuphelele.",zul,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"The Department of Water and Sanitation (DWS) has warned that persistent low rainfall is causing dam levels to drop significantly across the region. In response, authorities have implemented stringent water-saving measures to delay the onset of ""Day Zero."" Residents are urged to conserve water immediately to help combat this crisis and safeguard the remaining reserves.",eng,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"Kukhona ukuntuleka kwezimvula okwenze izinga lamanzi emadamini lihlele kakhulu. Lokhu kubangele ukuthi kube nesimo esibucayi sokufika kosuku lokuntuleka kwamanzi ngokuphelele. Ngakho-ke, iziphathi mandla zithathe izinyathelo eziqinile ukuze kunwebwe isikhathi sokufika kwalesi sikhathi esinzima. Kubizwa ukuba sonke sisebenzisane ngokonga amanzi ukuze silwisane nalesi simo.",zul,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"The Department of Water and Sanitation has reported a critical decline in dam levels resulting from a lack of rainfall. In response, authorities have implemented strict water-saving measures to delay the onset of ""Day Zero,"" the point at which water supplies are completely exhausted. These actions are designed to conserve existing resources and ensure long-term water security.",eng,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"Umnyango wezeManzi nezeSisaneliso (DWS) ubike ukuthi kukhona ukuntuleka kwezimvula, okwenze ukuba kwehle izinga lamanzi emadamini. Ngenxa yalokhu, iziphathi mandla sezithathe izinyathelo eziqondile zokuzama ukunweba isikhathi sokufika kosuku lokuntuleka kwamanzi. Lezi zinyathelo zihlose ukuqinisekisa ukuthi abantu baqhubeka nokuthola amanzi ngesikhathi kusaqhubeka nokulindwa kwezimvula.",zul,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"The Department of Water and Sanitation (DWS) has reported a significant decline in dam levels resulting from a lack of rainfall. This situation has heightened concerns over the arrival of ""Day Zero,"" the point at which water supplies are completely exhausted. Consequently, authorities have introduced strict measures to conserve water and delay the onset of the crisis.",eng,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"Ngenxa yokuntuleka kwezimvula, izinga lamanzi emadamini lihlele kakhulu, okwenza kube nesidingo sokuthi sonke sisebenze ngokubambisana. Siyakhuthazwa ukuba sinciphise ukusetshenziswa kwamanzi ngokungachitha nangokulungisa yonke imigqa evuzayo. Ngokulandela lezi zinyathelo, singakwazi ukunweba isikhathi futhi silwisane nosuku lokuntuleka kwamanzi emiphakathini yethu.",zul,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"Due to a lack of rainfall, water levels in dams have dropped significantly according to the Department of Water and Sanitation. To prevent the arrival of ""Day Zero,"" authorities are implementing strict water-saving measures to manage the remaining supply. It is essential for everyone to reduce their water consumption and adopt sustainable habits to ensure that communities do not run out of this vital resource.",eng,machine,gemma-4-31b-it,Siza ukulwisana nosuku lokuntuleka kwamanzi
"Okhulumela amaphoyisa aseMpumalanga, uColonel Mtsholi Bhembe, ugcizelele ukubaluleka kokuba umphakathi ubike zonke izenzo zokunukubezwa. Uthe ukubambisana phakathi kwabantu namaphoyisa kuyisihluthulelo sokulwa nalo bugebengu, ukuze kuqinisekiswe ukuthi abenzi bobubi babhekana nomthetho. Ngokubika, abahlukumezekile bayabuya amandla abo futhi bavula indlela yokuthola ubulungiswa.",zul,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
"Mpumalanga police spokesperson Colonel Mtsholi Bhembe has called on the community to reclaim their power by reporting all incidents of abuse. He stressed that strong cooperation between the public and law enforcement is vital in effectively combatting these crimes. Bhembe emphasized that while it is the duty of the police to intervene, reporting such offenses is the first essential step toward achieving justice.",eng,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
"UColonel Mtsholi Bhembe wagcizelela ukuthi kubalulekile ukuba umphakathi ubike ukunukubezwa namaphoyisa aseMpumalanga. Ukusebenzisana phakathi kwabantu namaphoyisa kuyasiza ekulweni nalo bugebengu ngempumelelo. Ngakho-ke, abantu bakhuthazwa ukuba bakhulume ukuze babuyise amandla abo futhi baqede lokhu kunukubezwa emiphakathini yabo.",zul,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
"Colonel Mtsholi Bhembe, a spokesperson for the Mpumalanga police, is urging the community to report cases of abuse and harassment. He emphasizes that cooperation between the public and law enforcement is essential to effectively combat these crimes. By speaking out, victims are encouraged to reclaim their power and allow the police to fulfill their duty of ensuring safety.",eng,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
"Okhulumela amaphoyisa aseMpumalanga, uColonel Mtsholi Bhembe, ubize umphakathi ukuba ungathuli kodwa ubike zonke izigameko zokunukubezwa. Ugize ngokuthi kubalulekile ukuba abantu basebenzisane namaphoyisa ukuze lo mkhuba wobugebengu uqedwe ngokuphelele. Uthe, ""Njengamaphoyisa, kuwumsebenzi wethu ukudlala indima yethu ekulweni nalobu bugebengu.""",zul,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
Mpumalanga police spokesperson Colonel Mtsholi Bhembe has urged the public to report cases of abuse to help victims reclaim their power. He emphasized that community cooperation is essential for the police to effectively identify and combat these crimes. Colonel Bhembe stated that it is the fundamental duty of the police to play their part in ensuring the safety and justice of all citizens.,eng,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
"Ukuhlukunyezwa nokunukubezwa kuwubugebengu obubucayi obuthinta abantu abaningi emphakathini. Kubalulekile ukuthi ungathuli, kodwa ubuyise amandla akho ngokubika lokhu okwenzekayo. Njengoba uColonel Bhembe ekugcizele, ukubika lobu bugebengu emaphoyiseni kusiza ekutheni kube nokulungiswa kwezinto. Uma umphakathi usebenzisana namaphoyisa, sakha indawo ephephile kubo bonke abantu.",zul,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
"Reclaiming your power begins with the courage to report abuse and seek help. Colonel Mtsholi Bhembe of the Mpumalanga police emphasizes that community cooperation is essential for law enforcement to effectively combat these crimes. By reporting abuse, victims can move toward safety while ensuring that perpetrators are held accountable. Together, the public and the police can create a more secure environment for everyone.",eng,machine,gemma-4-31b-it,"Buyisa amandla akho, bika ngokunukubezwa"
"Umbiko wekota yokugcina yonyaka we-2017 ukhombisa inqubekela phambili emangalisayo ekulweni nobuzingela bobhejane. Kukhona ukwenyuka okubonakalayo enanini labantu ababoshiwe kanye neziphenyo ezithuthukile ezibhekiswe kulabo abadayisa izimpondo zobhejane. Lokhu kuholele ekutheni abazingela abaningi bagwetshwe imithetho eqinile, okuyisinyathelo esibalulekile ekusindiseni obhejane bakithi.",zul,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"A recent report spanning the final quarter of 2017 reveals significant progress in the crackdown on rhino poaching. Data shows a marked increase in arrests and investigations, leading to a higher conviction rate for those hunting rhinos for their horns. These results signal a strengthening of law enforcement efforts to protect endangered wildlife. This momentum remains vital in the ongoing mission to save our rhinos.",eng,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"Lo mbiko ugxile ekulweni nokubulala obhejane, ubheka kakhulu inkathi yokugcina yonyaka we-2017. Ukhombisa ukuthi kukhona inqubekela phambili ekuboshweni kwabazingela kanye nokwenziwa kwophenyo olujulile. Okubalulekile ukuthi abantu ababebulala obhejane ngenxa yezimpondo sebeqale ukugwetshwa. Lokhu kuzosiza ekulweni nokuvikela obhejane bakithi ukuze bangashabalali.",zul,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"The ""Save our rhinos"" initiative focuses on combatting the illegal poaching of rhinoceroses for their horns. A report covering the final quarter of 2017 indicates significant progress in law enforcement efforts to protect the species. Specifically, there has been a notable increase in the number of arrests, investigations, and successful convictions of poachers. These results reflect a strengthened commitment to ending poaching through stricter legal action.",eng,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"Umbiko wekota yokugcina yowezi-2017 ukhombisa inqubekela phambili ekulweni nokuvikela obhejane bakithi. Lokhu kuhlanganisa ukunyuka kwenani labantu ababoshiwe kanye nokuthuthuka kwezinhlelo zophenyo eziqondiswe kubazingeli. Ngaphezu kwalokho, abazingeli ababebulala obhejane ukuze bathole izimpondo manje sebegwetshwe ngokusemthethweni.",zul,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"A recent report, covering the final quarter of 2017, indicates significant progress in the effort to protect rhinos. The findings highlight an increase in the number of arrests and ongoing investigations targeting poaching syndicates. Additionally, the report notes that several poachers have already been successfully prosecuted and sentenced for the illegal trade of rhino horns.",eng,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"Ubhejane busengozini enkulu ngenxa yokuzingela ukuze kutholwe izimpondo zawo. Umbiko wekota yokugcina ka-2017 ukhombisa inqubekela phambili ekuboshweni nasekugetshweni kwabazingela, okuyinto eyethisayo. Kubalulekile ukuthi sonke sibambisane ukuze sivikele lezi zilwane azinyamalali. Masisebenze ngokuzikhandla ukusindisa obhejane bakithi ukuze zigcinele izizukulwane ezizayo.",zul,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"Efforts to save rhinos are essential for preserving biodiversity and protecting these endangered animals from extinction. Reports from late 2017 indicated significant progress in this fight, showing an increase in arrests and more thorough investigations into illegal poaching activities. Furthermore, the successful conviction of those poaching rhino horns serves as a critical deterrent against future crimes. These legal victories demonstrate that strict law enforcement and consistent monitoring are key to ensuring the long-term survival of rhino populations.",eng,machine,gemma-4-31b-it,Sindisani obhejane bakithi
"Isikhulu Sokhetho Esiyinhloko, uSy Mamabolo, usazisa ukuthi ukubhalisela ukuvota kuzoba ngoNdasa wezi-2018. Ubike ukuthi zonke izikhungo zokuvota eziyizi-22 612 zizobe zivulekile ngempe-lasonto mhla ziyi-10 kanye nomusis mhla ziyi-11 kuNdasa. Lezi zikhungo zizovula iminyango yazo kusukela ngele-8 ekuseni ukuze abezweni bakwazi ukubhalisa.",zul,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
"Chief Electoral Officer Ms. Mamabolo has announced that voter registration will take place this February. All 22,612 voting stations nationwide will be open to the public on Sunday, February 10, and Monday, February 11, 2018. These centers are scheduled to open their doors starting at 8:00 AM.",eng,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
Ukubhalisela ukuvota kuzoba khona ngomhlaka 10 no-11 kuNdasa wezi-2018. Isikhulu Sokhetho uSy Mamabolo umatheka ukuthi izikhungo zokuvota eziyizi-22 612 zizobe zivuliwe. Lezi zikhungo zizovula kusukela ngele-8 ekuseni kulezo zinsuku zombili. Lokhu kwenzelwa ukunikeza abantu ithuba lokubhalisa ukuze bakwazi ukuvota.,zul,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
"Voter registration is scheduled to take place in February 2018. Chief Electoral Officer Sy Mamabolo announced that 22,612 voting centers will be open for this process on February 10 and 11. Registration will begin at 8:00 AM on both days.",eng,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
"Ukubhalisela ukuvota kuzoba ngoNdasa wezi-2018. Isikhulu Sokhetho Esiyinhloko, uSy Mamabolo, uthe izikhungo zokuvota eziyizi-22 612 zizovuleka kulezi zinsuku. Lezi zikhungo zizovula ngempe-lasonto yangomhla ziyi-10 kanye namhla ziyi-11 kuNdasa wezi-2018, kusukela ngele-8 ekuseni.",zul,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
"Chief Electoral Officer Ms. Mamabolo has announced that voter registration will take place on February 10 and 11, 2018. A total of 22,612 registration centers will be open to the public during this period. These centers are scheduled to open starting at 8:00 AM on both Sunday and Monday.",eng,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
"Ukubhalisela ukuvota kuzoba ngoNdasa wezi-2018. Isikhulu Sokhetho Esiyinhloko, uSy Mamabolo, usho ukuthi izikhungo zokuvota eziyizi-22 612 zizovuleka ngempe-lasonto yamhla ziyi-10 kanye namhla ziyi-11 kuNdasa, kusukela ngele-8 ekuseni. Kubalulekile ukuthi zonke izakhamuzi ezifanele zibhalise ukuze ziqinisekise ukuthi izwi lazo liyizwakala ezikhethweni.",zul,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
"Voter registration is scheduled to take place in February 2018. According to Chief Electoral Officer Ms. Mamabolo, a total of 22,612 voting centers will be open to the public. These centers will operate on Saturday, February 10th, and Sunday, February 11th, starting from 8:00 AM.",eng,machine,gemma-4-31b-it,Ukubhalisela ukuvota kuzoba  ngoNdasa wezi-2018
"UMnu. Mukhodia, owavela esigodini saseLuheni kuMasipala waseThulame eLimpopo, uthole iziqu zakhe ze-Urban and Regional Planning eNyuvesi yaseVenda ngo-2016. Ungomunye wabahlomule ohlelweni lwe-MISA, oluhlose ukuxhasa nokuthuthukisa amakhono abahleli bomumo wedolobha. Lolu hlelo ludlala indima ebalulekile ekunikezeni abatsha amathuba okusebenza nokusebenzisa ulwazi lwabo ekwakheni imidolobha efanele.",zul,machine,gemma-4-31b-it,I-MISA iwuhlelo elasiza umhleli womumo wedolobha
"A native of Luheni in Limpopo's Thulame Local Municipality, Umukhodiwa graduated from the University of Venda in 2016 with a degree in Urban and Regional Planning. He is one of the successful beneficiaries of the MISA program, an initiative specifically designed to support and empower urban planners. Through this program, professionals like Umukhodiwa are equipped with the necessary tools to drive sustainable development and improve municipal infrastructure.",eng,machine,gemma-4-31b-it,I-MISA iwuhlelo elasiza umhleli womumo wedolobha
